"SASKAITOS_METAI","KREDITORIUS","KREDITORIAUS_NR","SUTARTIES_NR","SASKAITOS_DATA","SASKAITOS_NR","DK_DATA","TERMS_DATE","TREMINAS","VALIUTA","INVOICE_TYPE_LOOKUP_CODE","FIN_SALTINIS","PRIEMONE","SAMATA","EKON_KLAS","ASIGNAV_VALDYTOJAS","ASIGN_VALD_APRASAS","EILUTES_SUMA","APMOKETA_SUMA","SKOLOS_SUMA","SKOLOS_SUMA_ES","DEPARTAMENTAS"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/5","2013-07-31T00:00","GAO 0013304 FINAN","2014-12-31T00:00","2013-07-31T00:00","90 dienų","EUR","STANDARD","01","14010102","3000630","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",221550.02,221550.02,0,,"Administracija EUR"
"2013","Vilniaus miesto savivaldybės administracija","188710061",,"2013-07-31T00:00","ŽN/pajamos201307","2014-12-31T00:00","2013-07-31T00:00","Nedelsiant","EUR","STANDARD","01","0000000000","0000000","1.4.5.1.3.1.","188710061","Vilniaus miesto savivaldybės administracija",53705.28,0,53705.28,,"Administracija EUR"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/7","2013-08-30T00:00","GAO 0013421 FINAN","2014-12-31T00:00","2013-08-30T00:00","90 dienų","EUR","STANDARD","01","14010143","3000647","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",21461.49,21461.49,0,,"Administracija EUR"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/7","2013-08-30T00:00","GAO 0013422 FINAN","2014-12-31T00:00","2013-08-30T00:00","90 dienų","EUR","STANDARD","01","14010143","3000647","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",55063.45,55063.45,0,,"Administracija EUR"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/7","2013-08-30T00:00","GAO 0013423 FINAN","2014-12-31T00:00","2013-08-30T00:00","90 dienų","EUR","STANDARD","01","14010143","3000647","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",105458.73,105458.73,0,,"Administracija EUR"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/6","2013-08-30T00:00","GAO 0013427 FINAN","2014-12-31T00:00","2013-08-30T00:00","90 dienų","EUR","STANDARD","01","14010143","3000647","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",79047.37,79047.37,0,,"Administracija EUR"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/7","2013-08-30T00:00","GAO 0013429 FINAN","2014-12-31T00:00","2013-08-30T00:00","90 dienų","EUR","STANDARD","01","14010143","3000647","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",110298.94,110298.94,0,,"Administracija EUR"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/5","2013-08-30T00:00","GAO 0013431 FINAN","2014-12-31T00:00","2013-08-30T00:00","90 dienų","EUR","STANDARD","01","14010102","3000630","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",222401.12,222401.12,0,,"Administracija EUR"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/5","2013-08-30T00:00","GAO 0013441 FINAN","2014-12-31T00:00","2013-08-30T00:00","90 dienų","EUR","STANDARD","01","14010102","3000630","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",249090.01,249090.01,0,,"Administracija EUR"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/5","2013-08-30T00:00","GAO 0013446 FINAN","2014-12-31T00:00","2013-08-30T00:00","90 dienų","EUR","STANDARD","01","14010102","3000630","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",236518.73,236518.73,0,,"Administracija EUR"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/10","2013-08-30T00:00","NAB 63465 FINAN2","2014-12-31T00:00","2013-08-30T00:00","90 dienų","EUR","STANDARD","01","14010102","3000630","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",52097.13,52097.13,0,,"Administracija EUR"
"2013","Vilniaus miesto savivaldybės administracija","188710061",,"2013-08-31T00:00","ŽN/201308","2014-12-31T00:00","2013-08-31T00:00","Nedelsiant","EUR","STANDARD","01","0000000000","0000000","1.4.5.1.3.1.","188710061","Vilniaus miesto savivaldybės administracija",23974.53,0,23974.53,,"Administracija EUR"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/1","2013-09-30T00:00","EC 00001886 FINAN","2014-12-31T00:00","2013-09-30T00:00","180 dienų","EUR","STANDARD","01","14010121","3000790","3.1.1.2.1.3.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",118908.47,118908.47,0,,"Administracija EUR"
